Date, Open, High, Low, Close, Volume
1-Mar-16,107.83,109.82,107.60,109.82,26817309
29-Feb-16,107.60,108.91,106.75,106.92,32243645
26-Feb-16,108.70,109.45,107.16,107.92,26578891
25-Feb-16,107.11,108.07,105.61,108.07,29796180
24-Feb-16,104.21,106.95,102.74,106.88,34239396
23-Feb-16,106.85,107.47,105.12,105.46,25204873
22-Feb-16,105.49,108.25,105.34,107.16,35630883
19-Feb-16,102.55,105.02,102.06,104.57,32337444
18-Feb-16,105.80,106.00,103.03,103.47,29374587
17-Feb-16,101.94,105.72,100.40,105.20,43852623
16-Feb-16,103.80,103.93,100.24,101.61,45438324
12-Feb-16,103.74,104.24,101.09,102.01,36038104
11-Feb-16,99.60,105.11,98.88,101.91,43493102
10-Feb-16,101.55,103.25,100.24,101.00,44943948
9-Feb-16,97.14,102.40,96.82,99.54,62580050
8-Feb-16,100.41,102.68,97.46,99.75,71016537
5-Feb-16,109.51,109.58,103.18,104.07,76522716
4-Feb-16,111.80,111.94,109.25,110.49,38648485
3-Feb-16,115.27,115.34,109.75,112.69,56848084
2-Feb-16,114.80,117.59,113.20,114.61,59644925
1-Feb-16,112.27,115.72,112.01,115.09,45840867
29-Jan-16,108.99,112.84,108.84,112.21,62357459
28-Jan-16,107.20,110.34,104.81,109.11,107084072
27-Jan-16,97.79,97.85,94.23,94.45,48311872
26-Jan-16,97.76,97.88,95.66,97.34,26637412
25-Jan-16,98.72,99.48,96.93,97.01,32319141
22-Jan-16,96.41,98.07,95.49,97.94,30331442
21-Jan-16,94.91,95.99,92.62,94.16,30468830
20-Jan-16,92.83,95.00,89.37,94.35,58982367
19-Jan-16,96.53,97.42,93.92,95.26,30620565
15-Jan-16,93.98,96.38,93.54,94.97,45935550
14-Jan-16,95.85,98.87,92.45,98.37,48488509
13-Jan-16,100.58,100.58,95.21,95.44,33091576
12-Jan-16,99.00,99.96,97.55,99.37,28395390
11-Jan-16,97.91,98.60,95.39,97.51,29932385
8-Jan-16,99.88,100.50,97.03,97.33,35402298
7-Jan-16,100.50,101.43,97.30,97.92,45172906
6-Jan-16,101.13,103.77,100.90,102.97,25096183
5-Jan-16,102.89,103.71,101.66,102.73,23258238
4-Jan-16,101.95,102.24,99.75,102.22,37717312
31-Dec-15,106.00,106.17,104.62,104.66,18391064
30-Dec-15,107.00,107.25,106.06,106.22,13115007
29-Dec-15,106.42,107.74,106.25,107.26,17179901
28-Dec-15,105.02,105.98,104.53,105.93,13069733
24-Dec-15,104.74,105.32,104.50,105.02,6512134
23-Dec-15,105.89,106.11,103.86,104.63,19599673
22-Dec-15,105.22,105.66,104.81,105.51,14597122
21-Dec-15,104.91,105.15,103.60,104.77,16138786
18-Dec-15,106.08,106.59,103.97,104.04,35994199
17-Dec-15,107.49,107.75,106.13,106.22,21675686
16-Dec-15,105.37,107.09,104.19,106.79,22680547
15-Dec-15,105.30,105.80,104.28,104.55,21764331
14-Dec-15,102.28,104.74,101.46,104.66,24648093
11-Dec-15,104.15,104.34,101.91,102.12,26427727
10-Dec-15,105.05,106.40,104.41,105.42,17454312
9-Dec-15,106.18,106.44,103.55,104.60,23517268
8-Dec-15,104.00,106.91,103.95,106.49,20401791
7-Dec-15,106.48,106.83,104.66,105.61,15474890
4-Dec-15,104.75,107.73,104.11,106.18,21224721
